,,,,,,,,,,,
॥,स स,रि स,स रि,स रि,।,स स ,रि रि,।,ग ग,म म,॥
,,,,,,,,,,,
॥,रि रि,ग रि,रि ग,रि ग,।,रि रि,ग ग ,।,म म  ,प प,॥
,,,,,,,,,,,
॥,ग ग ,म ग,ग म,ग म,।,ग ग,म म,।,प प,द द,॥
,,,,,,,,,,,
॥,म म,प म,म प,म प,।,म म,प प,।,द द,नि नि,॥
,,,,,,,,,,,
॥,प प ,द प,प द,प द,।,प प,द द,।,नि नि,$\tar{स}$ $\tar{स}$,॥
,,,,,,,,,,,
॥,$\tar{स}$ $\tar{स}$,नि $\tar{स}$,$\tar{स}$ नि,$\tar{स}$ नि,।,$\tar{स}$ $\tar{स}$,नि नि,।,द द ,प प,॥
,,,,,,,,,,,
॥,नि नि,द नि,नि द,नि द,।,नि नि,द द,।,प प,म म,॥
,,,,,,,,,,,
॥,द द,प द,द प,द प,।,द द,प प,।,म म  ,ग ग,॥
,,,,,,,,,,,
॥,प प ,म प,प म,प म,।,प प,म म,।,ग ग,रि रि,॥
,,,,,,,,,,,
॥,म म,ग म,ग ग,ग ग,।,म म,ग ग ,।,रि रि,स स,॥
